First_Name,Last_Name,Phone,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Editing_staff_id
Mark,Cohen,(867) 127-8468,No,No,Yes,No,No,No,Yes,1
Aquila,Gross,(314) 921-2406,No,Yes,Yes,Yes,No,No,Yes,2
Hanna,Noel,(356) 238-1832,No,Yes,Yes,No,Yes,No,Yes,3
Teegan,Little,1-877-707-6845,Yes,Yes,Yes,Yes,No,No,Yes,4
Basil,Conrad,(872) 622-6153,No,No,No,Yes,Yes,Yes,No,5
Daniel,Spears,1-385-183-5925,Yes,No,Yes,Yes,No,Yes,Yes,6
Kibo,Hayes,(927) 934-3267,Yes,No,Yes,No,Yes,Yes,No,7
Ezekiel,Duke,(181) 376-6076,No,No,No,Yes,Yes,No,Yes,8
Reese,Ortiz,(683) 882-0779,No,Yes,Yes,Yes,No,Yes,Yes,9
Aiko,Monroe,1-367-676-1424,No,No,Yes,Yes,Yes,No,No,10
Alec,Love,1-241-575-2878,No,Yes,Yes,No,Yes,No,No,11
Claire,Mills,(774) 527-5670,Yes,No,No,No,Yes,Yes,No,12
Sigourney,Fleming,1-144-876-1461,No,Yes,No,No,No,Yes,Yes,13
Sean,Evans,1-911-878-7764,Yes,No,Yes,No,No,No,Yes,14
Amanda,Valentine,1-316-944-2833,Yes,Yes,No,Yes,Yes,No,No,15
Alan,Cline,(457) 472-5145,No,No,No,Yes,Yes,No,Yes,16
Bethany,Frye,(668) 418-2445,No,Yes,Yes,Yes,No,Yes,No,17
Vincent,Hamilton,(422) 437-7215,Yes,Yes,Yes,No,Yes,Yes,Yes,18
Ezra,Simmons,(516) 760-2412,Yes,Yes,No,No,Yes,No,Yes,19
Reece,Johns,1-729-824-6482,No,Yes,Yes,Yes,Yes,No,No,20
Emerson,Downs,(948) 228-2680,Yes,No,Yes,No,No,No,Yes,21
Sandra,Wiley,1-460-425-9295,Yes,Yes,Yes,Yes,Yes,Yes,Yes,22
Maryam,Henry,1-894-983-1146,Yes,No,No,No,No,Yes,Yes,23
Yardley,Pate,1-685-276-8016,Yes,No,No,Yes,No,Yes,Yes,24
Breanna,Merrill,(367) 316-2573,No,Yes,Yes,Yes,No,Yes,Yes,25
Zahir,Carpenter,(832) 861-4668,No,No,Yes,Yes,Yes,Yes,No,26
Nerea,Cash,1-522-585-4186,No,Yes,Yes,Yes,No,Yes,Yes,27
Alfonso,Hodges,(581) 956-5068,Yes,Yes,Yes,No,Yes,Yes,No,28
Daniel,Sears,(591) 626-7877,Yes,Yes,Yes,No,No,Yes,No,29
Raymond,Bean,(680) 574-6347,No,Yes,Yes,Yes,No,Yes,Yes,30
Ruth,Whitehead,(819) 654-5259,No,Yes,No,No,Yes,No,No,31
Kevin,Richard,(385) 683-5049,No,Yes,No,Yes,No,No,Yes,32
Hedy,Whitaker,(453) 385-2438,Yes,Yes,No,Yes,Yes,No,Yes,33
Maile,Mcneil,(489) 931-3962,Yes,No,No,Yes,Yes,No,Yes,34
Ria,Wright,(243) 740-4085,No,Yes,Yes,No,Yes,No,Yes,35
Ginger,Farmer,1-731-762-2173,No,No,Yes,Yes,Yes,Yes,No,36
Lana,Cole,(235) 838-6685,Yes,No,Yes,No,Yes,Yes,Yes,37
Kellie,Calhoun,(255) 637-0619,No,No,No,Yes,No,No,No,38
Lysandra,Hubbard,1-738-418-9415,Yes,No,Yes,No,No,Yes,No,39
Lysandra,Roberson,1-125-261-5877,Yes,No,Yes,No,No,Yes,Yes,40
Boris,Jacobson,(361) 808-3323,Yes,Yes,No,No,No,No,Yes,41
